 Id G C R silaba Chi2_log Pearson_log Spearman_log Kendal_log Info_Mutua_log R2_log Chi2_lin Pearson_lin Spearman_lin Kendal_lin Info_Mutua_lin R2_lin Chi2_s Pearson_s Spearman_s Kendal_s Info_Mutua_s R2_s Chi2_all Pearson_all Spearman_all Kendal_all Info_Mutua_all R2_all
12 4 14000 1004004000 9500 D 229,414 0,845 0,787 0,590 0,668 0,104 8376815964486177,000 0,306 0,787 0,590 0,356 -0,021 9907323,753 0,497 0,305 0,204 0,289 0,196 28538,013 0,864 0,828 0,627 0,688 0,021
425 141 14000 1032256000 9900 C 5748,678 0,903 0,897 0,707 0,817 -1,043 25184053490529540,000 0,315 0,897 0,707 0,570 0,053 48003200,881 0,214 0,123 0,083 0,044 0,031 28522,749 0,864 0,829 0,628 0,691 0,030
887 295 14000 1065024000 10100 C 11240,702 0,901 0,901 0,712 0,833 -1,503 24503757414513896,000 0,325 0,901 0,712 0,574 0,062 48063171,661 0,220 0,130 0,087 0,054 0,036 32462,334 0,864 0,829 0,628 0,686 0,042
887 295 14000 1065024000 10100 C 11240,702 0,901 0,901 0,712 0,833 -1,503 24503757414513896,000 0,325 0,901 0,712 0,574 0,062 48063171,661 0,220 0,130 0,087 0,054 0,036 32462,334 0,864 0,829 0,628 0,686 0,042
890 296 14000 1065024000 10200 C 11390,208 0,901 0,899 0,709 0,852 -1,472 24100137401314992,000 0,325 0,899 0,709 0,578 0,063 48343885,175 0,220 0,131 0,088 0,045 0,036 28001,540 0,865 0,829 0,628 0,683 0,045
0 0 14000 1004004000 9100 D 238,177 0,845 0,786 0,589 0,654 0,109 8633743216149535,000 0,299 0,786 0,589 0,356 -0,033 6389206,663 0,491 0,307 0,206 0,287 0,187 28734,081 0,864 0,828 0,627 0,689 0,008
54 18 14000 1004004000 10900 D 231,094 0,844 0,778 0,582 0,647 0,101 7593090492967248,000 0,331 0,778 0,582 0,360 0,019 26167076,355 0,514 0,309 0,205 0,315 0,224 27092,634 0,865 0,829 0,628 0,686 0,059
739 246 14000 1052676000 10900 E 4819,017 0,827 0,807 0,615 0,565 -3,066 336907599824611136,000 0,584 0,807 0,615 0,255 0,322 67465822,174 0,433 0,228 0,163 0,310 0,172 28982,307 0,864 0,829 0,628 0,682 0,058
887 295 14000 1065024000 10100 C 11240,702 0,901 0,901 0,712 0,833 -1,503 24503757414513896,000 0,325 0,901 0,712 0,574 0,062 48063171,661 0,220 0,130 0,087 0,054 0,036 32462,334 0,864 0,829 0,628 0,686 0,042
887 295 14000 1065024000 10100 C 11240,702 0,901 0,901 0,712 0,833 -1,503 24503757414513896,000 0,325 0,901 0,712 0,574 0,062 48063171,661 0,220 0,130 0,087 0,054 0,036 32462,334 0,864 0,829 0,628 0,686 0,042
458 152 14000 1036324000 9100 C 2747,427 0,898 0,885 0,692 0,833 -0,335 24813118722155180,000 0,313 0,885 0,692 0,594 0,051 45437024,242 0,214 0,119 0,079 0,054 0,031 31979,785 0,864 0,828 0,628 0,690 0,006
1081 360 14000 1077444000 10900 E 5148,033 0,826 0,806 0,615 0,566 -3,017 340823483049253184,000 0,584 0,806 0,615 0,256 0,322 68941699,945 0,435 0,229 0,163 0,294 0,174 29216,024 0,864 0,829 0,628 0,682 0,062
1026 342 14000 1077444000 9100 D 361,000 0,847 0,795 0,596 0,688 -0,312 8533376621001439,000 0,302 0,795 0,596 0,376 -0,005 2321426,182 0,494 0,315 0,214 0,319 0,193 29310,665 0,864 0,829 0,628 0,687 0,021
1080 360 14000 1077444000 10900 D 309,720 0,848 0,795 0,598 0,683 -0,168 7614143763599692,000 0,333 0,795 0,598 0,368 0,040 2872237,695 0,516 0,316 0,213 0,285 0,228 29216,024 0,864 0,829 0,628 0,682 0,062
1080 360 14000 1077444000 10900 D 309,720 0,848 0,795 0,598 0,683 -0,168 7614143763599692,000 0,333 0,795 0,598 0,368 0,040 2872237,695 0,516 0,316 0,213 0,285 0,228 29216,024 0,864 0,829 0,628 0,682 0,062
1026 342 14000 1077444000 9100 D 361,000 0,847 0,795 0,596 0,688 -0,312 8533376621001439,000 0,302 0,795 0,596 0,376 -0,005 2321426,182 0,494 0,315 0,214 0,319 0,193 29310,665 0,864 0,829 0,628 0,687 0,021
42 14 14000 1004004000 10500 D 247,641 0,843 0,781 0,584 0,663 0,097 7802091446418417,000 0,324 0,781 0,584 0,361 0,009 26826396,198 0,510 0,306 0,203 0,329 0,217 28737,888 0,865 0,828 0,628 0,682 0,049
1080 360 14000 1077444000 10900 D 309,720 0,848 0,795 0,598 0,683 -0,168 7614143763599692,000 0,333 0,795 0,598 0,368 0,040 2872237,695 0,516 0,316 0,213 0,285 0,228 29216,024 0,864 0,829 0,628 0,682 0,062
624 208 14000 1044484000 10900 D 255,673 0,847 0,793 0,596 0,681 -0,012 7624054354217634,000 0,332 0,793 0,596 0,360 0,031 4665399,980 0,515 0,310 0,206 0,292 0,226 26317,533 0,864 0,829 0,628 0,686 0,057
111 37 14000 1008016000 10900 D 234,207 0,844 0,780 0,583 0,638 0,093 7595536105220556,000 0,331 0,780 0,583 0,363 0,021 25905127,187 0,514 0,309 0,204 0,316 0,224 27457,151 0,865 0,829 0,628 0,683 0,059
1023 341 14000 1073296000 10900 D 299,765 0,848 0,794 0,596 0,684 -0,143 7613383725034269,000 0,333 0,794 0,596 0,367 0,039 2891012,799 0,515 0,315 0,212 0,277 0,228 28440,259 0,864 0,829 0,628 0,684 0,061
1023 341 14000 1073296000 10900 D 299,765 0,848 0,794 0,596 0,684 -0,143 7613383725034269,000 0,333 0,794 0,596 0,367 0,039 2891012,799 0,515 0,315 0,212 0,277 0,228 28440,259 0,864 0,829 0,628 0,684 0,061
357 119 14000 1028196000 9600 D 250,645 0,847 0,793 0,596 0,677 0,022 8336104334150862,000 0,309 0,793 0,596 0,364 -0,007 2949445,527 0,498 0,305 0,204 0,291 0,200 30544,803 0,864 0,828 0,628 0,694 0,020
1080 360 14000 1077444000 10900 D 309,720 0,848 0,795 0,598 0,683 -0,168 7614143763599692,000 0,333 0,795 0,598 0,368 0,040 2872237,695 0,516 0,316 0,213 0,285 0,228 29216,024 0,864 0,829 0,628 0,682 0,062
